@relation TrainingsetAROUSALeVALENZA

@attribute Gender {m,f}
@attribute PitchMin numeric
@attribute PitchMed numeric
@attribute PitchMax numeric
@attribute PitchMinMaxDiffLog numeric
@attribute PitchMinLog numeric
@attribute PitchMedLog numeric
@attribute PitchMaxLog numeric
@attribute PitchDevSta numeric
@attribute PitchSlope numeric
@attribute EnergyMin numeric
@attribute EnergyMed numeric
@attribute EnergyMax numeric
@attribute EnergyMinMaxDiff numeric
@attribute EnergyDevSta numeric
@attribute SpectrumCentralMoment numeric
@attribute SpectrumDevSta numeric
@attribute SpectrumGravityCentre numeric
@attribute SpectrumKurtosis numeric
@attribute SpectrumSkewness numeric
@attribute HarmonicityDevSta numeric
@attribute HarmonicityMax numeric
@attribute HarmonicityMed numeric
@attribute HarmonicityMin numeric
@attribute Arousal {High,Medium,Low}
@attribute Valenza {VeryNeg,Neutral,Positive,Negative}

@data
m,98.68206,118.46816,517.69072,419.0069,98.68383,115.83832,517.69072,39.06281,292.0051,35.72834,56.81371,70.72282,34.994476,8.56599,6372755408.29785,1119.67501,662.73114,26.90009,4.53995,5.34498,34.39173,9.87128,-226.4552,Low,Negative
m,92.14668,155.57063,235.70089,143.55444,92.14668,152.94062,235.70113,29.60867,338.71896,37.50059,63.47153,81.28461,43.784016,13.15161,4292422222.76354,960.34567,726.3952,33.13938,4.8464,4.33711,32.37804,6.46243,-226.05815,High,VeryNeg
m,103.08641,134.71185,186.81411,83.724785,103.08953,132.39307,186.81431,25.37624,191.68081,37.67057,59.47572,75.8581,38.18753,10.83942,8631741033.20777,1277.2432,773.79211,20.21786,4.14264,5.47566,38.60116,9.53736,-226.01354,Medium,Neutral
m,113.51908,182.83961,235.95504,122.436356,113.52193,180.14003,235.95829,31.29526,310.47968,37.80557,64.50629,80.67833,42.87276,11.88622,6712109628.6502,1113.11694,743.55489,28.05772,4.86672,4.57379,39.90182,11.06507,-226.06692,High,Positive
m,111.69192,139.24534,588.4191,476.61728,111.80186,135.51742,588.4191,49.8952,598.9272,36.54211,59.07364,73.2351,36.69299,10.46266,1972133970.46261,628.61858,450.54748,89.30891,7.93916,6.09007,33.28813,12.88895,-225.61316,Low,Negative
m,75.99435,169.69277,226.79724,150.65062,76.14719,164.4821,226.7978,39.47359,279.11453,33.30155,63.35491,83.77489,50.473335,15.01148,1371075172.4562,698.59648,797.91172,27.65114,4.02144,3.7284,34.11009,7.34243,-226.1062,High,VeryNeg
m,100.09936,132.4626,272.76741,172.66803,100.09936,130.4264,272.76741,26.11574,283.99914,33.82727,58.48189,74.09725,40.26998,12.00853,1078740978.95549,567.49591,650.10937,72.27103,5.9024,4.91221,27.49138,9.11821,-226.20049,Medium,Neutral
m,135.43542,197.77679,250.35129,114.915146,135.43637,194.37058,250.35152,36.16404,146.66384,34.59794,63.25021,77.99852,43.40058,13.53615,2056255083.76801,756.35665,710.2415,29.57215,4.75223,4.96095,32.34249,13.82015,-225.99243,High,Positive
m,101.31437,123.98356,144.01251,42.697037,101.31549,123.5664,144.01252,10.20196,63.35605,37.0862,58.66068,71.22597,34.139767,11.3578,768252924.31091,469.58834,447.59397,103.23706,7.41912,4.52399,26.84936,16.52779,-226.50664,Low,Negative
m,90.79885,165.57932,212.36379,121.565956,90.79885,162.81362,212.36481,29.37573,200.10118,37.26142,62.46431,86.08277,48.82135,15.00192,1106540159.5595,664.4327,786.14282,28.1904,3.77237,4.17727,26.67815,8.00034,-225.75806,High,VeryNeg
